category,artist,title,price,imageUrl
vinyl,Van Halen,1984,35.99,/assets/products/van-halen-1984.jpg
vinyl,Scorpions,Blackout,32.99,/assets/products/scorpions-blackout.jpg
vinyl,ZZ Top,Eliminator,33.99,/assets/products/zz-top-eliminator.jpg
vinyl,The Police,Synchronicity,34.99,/assets/products/the-police-synchronicity.jpg
vinyl,Guns N' Roses,Appetite For Destruction,36.99,/assets/products/guns-n-roses-appetite-for-destruction.jpg
vinyl,Def Leppard,Pyromania,33.99,/assets/products/def-leppard-pyromania.jpg
vinyl,Bon Jovi,Slippery When Wet,35.99,/assets/products/bon-jovi-slippery-when-wet.jpg
vinyl,Queen,Hot Space,29.99,/assets/products/queen-hot-space.jpg
vinyl,U2,The Joshua Tree,34.99,/assets/products/u2-the-joshua-tree.jpg
vinyl,Dire Straits,Brothers In Arms,34.99,/assets/products/dire-straits-brothers-in-arms.jpg
